taxsuborder,pct,predicted_suborder
Xeralfs,85,Xerolls
Xererts,90,Xererts
Ochrepts,150,Xeralfs
Ochrepts,150,Xeralfs
Ochrepts,150,Xerolls
Xerolls,70,Ochrepts
Aqualfs,85,Aquerts
Aquolls,85,Aquerts
Ochrepts,45,Xerolls
Fluvents,85,Xerolls
Ochrepts,45,Fluvents
Xeralfs,85,Xeralfs
Xeralfs,85,Xeralfs
Fluvents,85,Xeralfs
Xererts,85,Aquents
Orthents,85,Xeralfs
Ochrepts,85,Xerolls
Xeralfs,85,Xeralfs
Xeralfs,85,Xererts
Xeralfs,85,Xeralfs
Xeralfs,85,Xeralfs
Xeralfs,85,Xeralfs
Xeralfs,170,Xerolls
Xeralfs,170,Aquerts
Xeralfs,85,Aquolls
Orthents,50,Xererts
Orthents,85,Xeralfs
Xeralfs,340,Xeralfs
Xeralfs,340,Xeralfs
Xeralfs,340,Xeralfs
Xeralfs,340,Xeralfs
Ochrepts,170,Xeralfs
Ochrepts,170,Xeralfs
Ochrepts,85,Xerults
Xeralfs,85,Aquerts
Xererts,85,Aquerts
Xererts,85,Aquolls
Aquolls,85,Xeralfs
Xerolls,85,Xerolls
Xererts,50,Xererts
Xeralfs,170,Aquolls
Xeralfs,170,Aquerts
Xeralfs,85,Aquolls
Xererts,85,Xeralfs
Aquolls,85,Aquerts
Orthents,85,Xeralfs
Xeralfs,85,Xerolls
Ochrepts,85,Xeralfs
Xererts,100,Xeralfs
Xererts,100,Xeralfs
Xeralfs,85,Xeralfs
Ochrepts,85,Ochrepts
Ochrepts,45,Xerolls
Xeralfs,90,Xeralfs
Ochrepts,85,Xeralfs
Xeralfs,85,Xererts
Orthents,85,Aquolls
Xererts,50,Xeralfs
Aqualfs,85,Xeralfs
Fluvents,85,Xererts
Xeralfs,85,Xerepts
Xeralfs,85,Xeralfs
Aquolls,170,Aquerts
Aquolls,170,Aquerts
Xererts,85,Xererts
Aqualfs,85,Aquerts
Ochrepts,85,Xeralfs
Xererts,425,Aquerts
Xererts,425,Aquerts
Xererts,425,Aquerts
Xererts,425,Aquerts
Xererts,425,
Umbrepts,85,Ochrepts
Ochrepts,85,Ochrepts
Xeralfs,50,Xeralfs
Ochrepts,45,Xerolls
Xererts,50,Xeralfs
Xerolls,85,Xerolls
Umbrepts,85,Xeralfs
Xerolls,85,Xerolls
Ochrepts,45,Xeralfs
Xererts,85,Xeralfs
Ochrepts,45,Xeralfs
Ochrepts,85,Ochrepts
Orthents,85,Xeralfs
Xeralfs,45,Xeralfs
Xeralfs,30,Xerepts
Xeralfs,90,Xeralfs
Ochrepts,170,Xerolls
Ochrepts,170,Ochrepts
Xeralfs,90,Xererts
Xeralfs,180,Xeralfs
Xeralfs,180,Xerolls
Xeralfs,85,Xeralfs
Xerolls,40,Ochrepts
Xererts,150,Xeralfs
Xererts,150,Xeralfs
Xererts,150,Xerepts
Xeralfs,85,Xeralfs
Ochrepts,85,Ochrepts
Xeralfs,85,Xeralfs
Ochrepts,85,Ochrepts
Xeralfs,40,Xeralfs
Ochrepts,85,Xerults
Ochrepts,85,Ochrepts
Xerolls,40,Xeralfs
Ochrepts,85,Xeralfs
Orthents,255,Xerolls
Orthents,255,Aquolls
Orthents,255,Xeralfs
Orthents,90,Xeralfs
Ochrepts,30,Xerolls
Xeralfs,85,Xeralfs
Xeralfs,90,Xerolls
Xererts,80,Orthents
Aqualfs,85,Aquolls
Xeralfs,85,Xerolls
Orthents,170,Aquerts
Orthents,170,Xerepts
Xeralfs,85,Aquerts
Xeralfs,30,Xeralfs
Ochrepts,45,Xeralfs
Xeralfs,85,Ochrepts
Xeralfs,170,Xererts
Xeralfs,170,Xerepts
Xeralfs,85,Xeralfs
Xeralfs,85,Xeralfs
Xererts,45,Xeralfs
Xererts,45,Xeralfs
Xerolls,40,Ochrepts
Xererts,90,Xererts
Fluvents,170,Xeralfs
Fluvents,170,Xerolls
Xeralfs,85,Xeralfs
Ochrepts,85,Xeralfs
Ochrepts,85,Xerolls
Xererts,85,Aquolls
Ochrepts,85,Xerolls
Xeralfs,85,Xeralfs
Ochrepts,85,Ochrepts
Xeralfs,170,Xeralfs
Xeralfs,170,Xeralfs
Ochrepts,85,Xeralfs
Xeralfs,30,Xeralfs
Ochrepts,255,Ochrepts
Ochrepts,255,Xeralfs
Ochrepts,255,Xeralfs
Xeralfs,85,Xeralfs
Xeralfs,255,Xerolls
Xeralfs,255,Xerolls
Xeralfs,255,Xeralfs
Ochrepts,85,Ochrepts
Ochrepts,85,Xeralfs
Xererts,40,Orthents
Xeralfs,50,Xeralfs
Xererts,100,Xeralfs
Xererts,100,Xeralfs
Xeralfs,85,Xerolls
Xeralfs,85,Xeralfs
Xeralfs,255,Xeralfs
Xeralfs,255,Xeralfs
Xeralfs,255,Xerolls
Fluvents,85,Xererts
Xererts,50,Xererts
Ochrepts,85,Xeralfs
Fluvents,85,Xererts
Xererts,50,Xeralfs
Ochrepts,85,Xerolls
Ochrepts,85,Xerults
Xeralfs,50,Fluvents
Xeralfs,85,Xeralfs
Ochrepts,85,Xeralfs
Xeralfs,85,Xeralfs
Xeralfs,170,Xerolls
Xeralfs,170,Xeralfs
Ochrepts,85,Ochrepts
Aqualfs,85,Aquerts
Xeralfs,85,Xeralfs
Xererts,150,Fluvents
Xererts,150,Xeralfs
Xererts,150,Xeralfs
Xererts,40,Xeralfs
Ochrepts,170,Ochrepts
Ochrepts,170,Xerults
Xeralfs,85,Xeralfs
Xerolls,40,Xerepts
Orthents,85,Orthents
Orthents,85,Orthents
Xeralfs,255,Xeralfs
Xeralfs,255,Xererts
Xeralfs,255,Xeralfs
Xeralfs,90,Xeralfs
Ochrepts,170,Xeralfs
Ochrepts,170,Ochrepts
Xeralfs,85,Xeralfs
Ochrepts,85,Ochrepts
Ochrepts,85,Xeralfs
Ochrepts,85,Xerults
Xerolls,85,Ochrepts
Ochrepts,85,Xeralfs
Xererts,170,Aqualfs
Xererts,170,Xererts
Xeralfs,85,Xeralfs
Xeralfs,50,Xeralfs
Xererts,100,Xeralfs
Xererts,100,Xeralfs
Xeralfs,85,Xeralfs
Xeralfs,85,Xeralfs
Xererts,85,Aquerts
Xeralfs,40,Xeralfs
Ochrepts,60,Ochrepts
Xeralfs,50,Xeralfs
Ochrepts,35,Ochrepts
Ochrepts,35,Xerolls
Xerepts,40,Xeralfs
Xeralfs,85,Xeralfs
Ochrepts,35,Xeralfs
Xeralfs,50,Xeralfs
Xerolls,85,Ustalfs
Xeralfs,65,Xeralfs
Ochrepts,45,Xerolls
Xeralfs,50,Xeralfs
